Refs,Manf#,Qty
U6,SN6505BDBVT,1
U35,ISO7342CDW,1
T1,DA2303,1
Y2,KX-9A,1
"D1,D2",MBR0520LT1G,2
"C5-C11,C16-C23,C26-C28,C34,C39-C41,C43-C50,C57,C62-C72,C78,C83-C93,C99-C101,C103-C105",MC0402B104K160CT,60
"U1,U2,U39",ADP7118,3
U36,ISO7341CDW,1
U3,7W-8.192MBC-T,1
"C12-C15,C24,C25,C29-C33,C35-C38,C51,C53-C56,C58-C61,C73-C77,C79-C82,C94-C98",GRM155R60J105KE19D,38
"U8-U12,U15-U19,U22-U26,U29-U33",TPD4E1B06DCKR,20
U37,STM32F427ZIT6,1
"U7,U14,U21,U28",ADR4525BRZ,4
U5,ESP,1
"U13,U20,U27,U34",AD7770ACPZ,4
P1-P4,PLD,4
U38,LP5907MFX-3.3/NOPB,1
